sort	year	category	amount	thousands	millions	billion
1	1976	Energy & Environment	71562051688	71562051.69	71562.05	71.56
1	1977	Energy & Environment	49636366773	49636366.77	49636.37	49.64
1	1978	Energy & Environment	71467465801	71467465.80	71467.47	71.47
1	1979	Energy & Environment	62813427824	62813427.82	62813.43	62.81
1	1980	Energy & Environment	133501232235	133501232.23	133501.23	133.50
1	1981	Energy & Environment	52157784798	52157784.80	52157.78	52.16
1	1982	Energy & Environment	51177879060	51177879.06	51177.88	51.18
1	1983	Energy & Environment	48914748465	48914748.47	48914.75	48.91
1	1984	Energy & Environment	39587468827	39587468.83	39587.47	39.59
1	1985	Energy & Environment	41939700537	41939700.54	41939.70	41.94
1	1986	Energy & Environment	32987267752	32987267.75	32987.27	32.99
1	1987	Energy & Environment	32568289553	32568289.55	32568.29	32.57
1	1988	Energy & Environment	36406070841	36406070.84	36406.07	36.41
1	1989	Energy & Environment	35583387875	35583387.88	35583.39	35.58
1	1990	Energy & Environment	37603692206	37603692.21	37603.69	37.60
1	1991	Energy & Environment	38673218372	38673218.37	38673.22	38.67
1	1992	Energy & Environment	41920290551	41920290.55	41920.29	41.92
1	1993	Energy & Environment	44800126966	44800126.97	44800.13	44.80
1	1994	Energy & Environment	40083994300	40083994.30	40083.99	40.08
1	1995	Energy & Environment	37300147009	37300147.01	37300.15	37.30
1	1996	Energy & Environment	34035717298	34035717.30	34035.72	34.04
1	1997	Energy & Environment	34092252646	34092252.65	34092.25	34.09
1	1998	Energy & Environment	33694699187	33694699.19	33694.70	33.69
1	1999	Energy & Environment	34255807886	34255807.89	34255.81	34.26
1	2000	Energy & Environment	31519965382	31519965.38	31519.97	31.52
1	2001	Energy & Environment	37592496815	37592496.82	37592.50	37.59
1	2002	Energy & Environment	40061108134	40061108.13	40061.11	40.06
1	2003	Energy & Environment	40284131484	40284131.48	40284.13	40.28
1	2004	Energy & Environment	43796605472	43796605.47	43796.61	43.80
1	2005	Energy & Environment	40361272000	40361272.00	40361.27	40.36
1	2006	Energy & Environment	43675391103	43675391.10	43675.39	43.68
