sort	year	category	amount	thousands	millions	billions
3	1962	Corporate Income Taxes	126377497538	"126,377,498"	126377	126
3	1963	Corporate Income Taxes	131234487913	"131,234,488"	131234	131
3	1964	Corporate Income Taxes	141194973981	"141,194,974"	141195	141
3	1965	Corporate Income Taxes	150415035840	"150,415,036"	150415	150
3	1966	Corporate Income Taxes	173909544043	"173,909,544"	173910	174
3	1967	Corporate Income Taxes	190375419951	"190,375,420"	190375	190
3	1968	Corporate Income Taxes	155171429840	"155,171,430"	155171	155
3	1969	Corporate Income Taxes	189903943664	"189,903,944"	189904	190
3	1970	Corporate Income Taxes	161256792416	"161,256,792"	161257	161
3	1971	Corporate Income Taxes	125292644438	"125,292,644"	125293	125
3	1972	Corporate Income Taxes	143672797794	"143,672,798"	143673	144
3	1973	Corporate Income Taxes	154729148753	"154,729,149"	154729	155
3	1974	Corporate Income Taxes	154190507357	"154,190,507"	154191	154
3	1975	Corporate Income Taxes	146799804035	"146,799,804"	146800	147
3	1976	Corporate Income Taxes	139618003758	"139,618,004"	139618	140
3	1977	Corporate Income Taxes	172209617302	"172,209,617"	172210	172
3	1978	Corporate Income Taxes	176204011554	"176,204,012"	176204	176
3	1979	Corporate Income Taxes	178626968610	"178,626,969"	178627	179
3	1980	Corporate Income Taxes	161451188686	"161,451,189"	161451	161
3	1981	Corporate Income Taxes	139097321597	"139,097,322"	139097	139
3	1982	Corporate Income Taxes	104786191537	"104,786,192"	104786	105
3	1983	Corporate Income Taxes	75518350326	"75,518,350"	75518	76
3	1984	Corporate Income Taxes	111904106556	"111,904,107"	111904	112
3	1985	Corporate Income Taxes	116845880916	"116,845,881"	116846	117
3	1986	Corporate Income Taxes	117578569764	"117,578,570"	117579	118
3	1987	Corporate Income Taxes	152209182991	"152,209,183"	152209	152
3	1988	Corporate Income Taxes	166080350127	"166,080,350"	166080	166
3	1989	Corporate Income Taxes	174734136208	"174,734,136"	174734	175
3	1990	Corporate Income Taxes	152570380024	"152,570,380"	152570	153
3	1991	Corporate Income Taxes	154187245424	"154,187,245"	154187	154
3	1992	Corporate Income Taxes	153621768287	"153,621,768"	153622	154
3	1993	Corporate Income Taxes	176175531305	"176,175,531"	176176	176
3	1994	Corporate Income Taxes	206095979071	"206,095,979"	206096	206
3	1995	Corporate Income Taxes	225710023932	"225,710,024"	225710	226
3	1996	Corporate Income Taxes	242340174413	"242,340,174"	242340	242
3	1997	Corporate Income Taxes	252448574688	"252,448,575"	252449	252
3	1998	Corporate Income Taxes	258011962602	"258,011,963"	258012	258
3	1999	Corporate Income Taxes	249246024759	"249,246,025"	249246	249
3	2000	Corporate Income Taxes	274319510622	"274,319,511"	274320	274
3	2001	Corporate Income Taxes	195339012739	"195,339,013"	195339	195
3	2002	Corporate Income Taxes	188297510641	"188,297,511"	188298	188
3	2003	Corporate Income Taxes	164255152657	"164,255,153"	164255	164
3	2004	Corporate Income Taxes	230217259060	"230,217,259"	230217	230
3	2005	Corporate Income Taxes	327649226800	"327,649,227"	327649	328
3	2006	Corporate Income Taxes	402997602515	"402,997,603"	402998	403
3	2007	Corporate Income Taxes	409472203832	"409,472,204"	409472	409
3	2008	Corporate Income Taxes	328960782521	"328,960,783"	328961	329
3	2009	Corporate Income Taxes	147285814118	"147,285,814"	147286	147
3	2010	Corporate Income Taxes	202114350610	"202,114,351"	202114	202
3	2011	Corporate Income Taxes	187486351565	"187,486,352"	187486	187
3	2012	Corporate Income Taxes	240726556208	"240,726,556"	240727	241
3	2013	Corporate Income Taxes	347741000000	"347,741,000"	347741	348
6	1962	Customs Duties	7031682813	"7,031,683"	7032	7
6	1963	Customs Duties	7330549567	"7,330,550"	7331	7
6	1964	Customs Duties	7523958633	"7,523,959"	7524	8
6	1965	Customs Duties	8520908194	"8,520,908"	8521	9
6	1966	Customs Duties	10215755050	"10,215,755"	10216	10
6	1967	Customs Duties	10651608845	"10,651,609"	10652	11
6	1968	Customs Duties	11033661707	"11,033,662"	11034	11
6	1969	Customs Duties	12006797972	"12,006,798"	12007	12
6	1970	Customs Duties	11937151193	"11,937,151"	11937	12
6	1971	Customs Duties	12122055719	"12,122,056"	12122	12
6	1972	Customs Duties	14681347209	"14,681,347"	14681	15
6	1973	Customs Duties	13644229924	"13,644,230"	13644	14
6	1974	Customs Duties	13311682803	"13,311,683"	13312	13
6	1975	Customs Duties	13282907848	"13,282,908"	13283	13
6	1976	Customs Duties	13736926754	"13,736,927"	13737	14
6	1977	Customs Duties	16157175026	"16,157,175"	16157	16
6	1978	Customs Duties	19317818705	"19,317,819"	19318	19
6	1979	Customs Duties	20231297653	"20,231,298"	20231	20
6	1980	Customs Duties	17929260256	"17,929,260"	17929	18
6	1981	Customs Duties	18389754858	"18,389,755"	18390	18
6	1982	Customs Duties	18854782236	"18,854,782"	18855	19
6	1983	Customs Duties	17654333778	"17,654,334"	17654	18
6	1984	Customs Duties	22363999007	"22,363,999"	22364	22
6	1985	Customs Duties	23011820042	"23,011,820"	23012	23
6	1986	Customs Duties	24815437675	"24,815,438"	24815	25
6	1987	Customs Duties	27358479542	"27,358,480"	27358	27
6	1988	Customs Duties	28465182649	"28,465,183"	28465	28
6	1989	Customs Duties	27630893325	"27,630,893"	27631	28
6	1990	Customs Duties	27260515481	"27,260,515"	27261	27
6	1991	Customs Duties	25071495865	"25,071,496"	25071	25
6	1992	Customs Duties	26595970694	"26,595,971"	26596	27
6	1993	Customs Duties	28186362353	"28,186,362"	28186	28
6	1994	Customs Duties	29506737719	"29,506,738"	29507	30
6	1995	Customs Duties	27747249573	"27,747,250"	27747	28
6	1996	Customs Duties	26332125060	"26,332,125"	26332	26
6	1997	Customs Duties	24827601976	"24,827,602"	24828	25
6	1998	Customs Duties	25020775610	"25,020,776"	25021	25
6	1999	Customs Duties	24746453920	"24,746,454"	24746	25
6	2000	Customs Duties	26353538946	"26,353,539"	26354	26
6	2001	Customs Duties	25043993631	"25,043,994"	25044	25
6	2002	Customs Duties	23659927406	"23,659,927"	23660	24
6	2003	Customs Duties	24757059920	"24,757,060"	24757	25
6	2004	Customs Duties	25630484461	"25,630,484"	25630	26
6	2005	Customs Duties	27526434600	"27,526,435"	27526	28
6	2006	Customs Duties	28250767892	"28,250,768"	28251	28
6	2007	Customs Duties	28765897051	"28,765,897"	28766	29
6	2008	Customs Duties	29797634444	"29,797,634"	29798	30
6	2009	Customs Duties	23924128688	"23,924,129"	23924	24
6	2010	Customs Duties	26708989598	"26,708,990"	26709	27
6	2011	Customs Duties	30562496131	"30,562,496"	30562	31
6	2012	Customs Duties	31327867208	"31,327,867"	31328	31
6	2013	Customs Duties	33488000000	"33,488,000"	33488	33
5	1962	Excise Taxes	77184543211	"77,184,543"	77185	77
5	1963	Excise Taxes	80241500688	"80,241,501"	80242	80
5	1964	Excise Taxes	82523725592	"82,523,726"	82524	83
5	1965	Excise Taxes	86074013092	"86,074,013"	86074	86
5	1966	Excise Taxes	75533697093	"75,533,697"	75534	76
5	1967	Excise Taxes	76880964077	"76,880,964"	76881	77
5	1968	Excise Taxes	76214563600	"76,214,564"	76215	76
5	1969	Excise Taxes	78815673766	"78,815,674"	78816	79
5	1970	Excise Taxes	77144947543	"77,144,948"	77145	77
5	1971	Excise Taxes	77717928660	"77,717,929"	77718	78
5	1972	Excise Taxes	69129379419	"69,129,379"	69129	69
5	1973	Excise Taxes	69590550132	"69,590,550"	69591	70
5	1974	Excise Taxes	67249011617	"67,249,012"	67249	67
5	1975	Excise Taxes	59812082624	"59,812,083"	59812	60
5	1976	Excise Taxes	57192852368	"57,192,852"	57193	57
5	1977	Excise Taxes	55051104825	"55,051,105"	55051	55
5	1978	Excise Taxes	54009283678	"54,009,284"	54009	54
5	1979	Excise Taxes	50982461682	"50,982,462"	50982	51
5	1980	Excise Taxes	60804814847	"60,804,815"	60805	61
5	1981	Excise Taxes	92915955494	"92,915,955"	92916	93
5	1982	Excise Taxes	77323735818	"77,323,736"	77324	77
5	1983	Excise Taxes	72006746667	"72,006,747"	72007	72
5	1984	Excise Taxes	73487043351	"73,487,043"	73487	73
5	1985	Excise Taxes	68570562402	"68,570,562"	68571	69
5	1986	Excise Taxes	61297319125	"61,297,319"	61297	61
5	1987	Excise Taxes	58865418804	"58,865,419"	58865	59
5	1988	Excise Taxes	61904648333	"61,904,648"	61905	62
5	1989	Excise Taxes	58169301517	"58,169,302"	58169	58
5	1990	Excise Taxes	57671068722	"57,671,069"	57671	58
5	1991	Excise Taxes	66654547514	"66,654,548"	66655	67
5	1992	Excise Taxes	69815885630	"69,815,886"	69816	70
5	1993	Excise Taxes	72043004250	"72,043,004"	72043	72
5	1994	Excise Taxes	81074411899	"81,074,412"	81074	81
5	1995	Excise Taxes	82639391453	"82,639,391"	82639	83
5	1996	Excise Taxes	76181221370	"76,181,221"	76181	76
5	1997	Excise Taxes	78831236885	"78,831,237"	78831	79
5	1998	Excise Taxes	78866655285	"78,866,655"	78867	79
5	1999	Excise Taxes	95031457588	"95,031,458"	95031	95
